Date,price
2009-03-11,53.26642608642578
2009-03-12,55.363616943359375
2009-03-13,55.79625701904297
2009-03-16,55.62761306762695
2009-03-17,57.32884979248047
2009-03-18,58.612117767333984
2009-03-19,57.886138916015625
2009-03-20,56.65352249145508
2009-03-23,60.722904205322266
2009-03-24,59.52643966674805
2009-03-25,60.15421676635742
2009-03-26,61.38020324707031
2009-03-27,60.272396087646484
2009-03-30,58.18971252441406
2009-03-31,58.72882080078125
2009-04-01,59.86617660522461
2009-04-02,61.616539001464844
2009-04-03,62.22949981689453
2009-04-06,61.742061614990234
2009-04-07,60.301910400390625
2009-04-08,60.95183181762695
2009-04-09,63.374263763427734
2009-04-13,63.38901901245117
2009-04-14,62.29601287841797
2009-04-15,62.96067428588867
2009-04-16,63.88386535644531
2009-04-17,64.3122329711914
2009-04-20,61.616539001464844
2009-04-21,62.82034683227539
2009-04-22,62.43632125854492
2009-04-23,63.04928970336914
2009-04-24,64.00202178955078
2009-04-27,63.396427154541016
2009-04-28,63.19702911376953
2009-04-29,64.5411376953125
2009-04-30,64.56331634521484
2009-05-01,64.91040802001953
2009-05-04,67.11866760253906
2009-05-05,66.88971710205078
2009-05-06,68.04924774169922
2009-05-07,67.1038818359375
2009-05-08,68.66960144042969
2009-05-11,67.38452911376953
2009-05-12,67.18512725830078
2009-05-13,65.493896484375
2009-05-14,66.0551528930664
2009-05-15,65.51603698730469
2009-05-18,67.37715911865234
2009-05-19,67.2959213256836
2009-05-20,66.84539031982422
2009-05-21,65.88529968261719
2009-05-22,65.74496459960938
2009-05-26,67.4288558959961
2009-05-27,66.22502136230469
2009-05-28,67.148193359375
2009-05-29,68.33726501464844
2009-06-01,69.99159240722656
2009-06-02,70.0506591796875
2009-06-03,69.16442108154297
2009-06-04,69.8143539428711
2009-06-05,69.8291015625
2009-06-08,69.54108428955078
2009-06-09,69.89558410644531
2009-06-10,69.71834564208984
2009-06-11,70.02851104736328
2009-06-12,70.22054290771484
